Regione,ATI14,AT14,AA14,AS14,ATOT14,ATI15,AT15,AA15,AS15,ATOT15,ATI16,AT16,AA16,AS16,ATOT16,CTI14,CRT14,CA14,CRS14,CTOT14,CTI15,CRT15,CA15,CRS15,CTOT15,CTI16,CRT16,CA16,CRS16,CTOT16,RTTI14,TATI14,TTOT14,RTTI15,TATI15,TTOT15,RTTI16,TATI16,TTOT16
PIEMONTE,59948,228466,19131,16747,324292,115225,230787,14873,17866,378751,69187,251045,19157,20126,359515,102043,207803,11987,16056,337889,103298,209597,11207,18338,342440,97397,209551,9798,19268,336014,25084,6327,31411,46049,7769,53818,28356,7552,35908
VALLE D'AOSTA,2179,8673,1033,7080,18965,3646,8205,970,7137,19958,2063,10924,1038,7100,21125,3287,8463,890,6786,19426,3534,7705,831,7280,19350,3401,9372,654,6511,19938,672,209,881,1294,233,1527,691,181,872
LIGURIA,23396,101197,8758,13534,146885,41030,98934,6649,13411,160024,25207,108857,7674,13433,155171,36598,91016,6426,13248,147288,39497,90676,5581,13357,149111,35516,91980,4824,13249,145569,8938,2291,11229,14964,2603,17567,9087,2405,11492
LOMBARDIA,238649,696850,42401,40583,1018483,393293,751312,32747,43453,1220805,264730,765310,40954,41674,1112668,344815,606404,24374,39326,1014919,358828,667736,24205,43878,1094647,332837,627913,20897,40806,1022453,78930,13350,92280,135854,17198,153052,87258,16718,103976
TRENTINO ALTO-ADIGE,16233,63798,5989,75525,161545,27917,65365,5263,76772,175317,18582,75471,6090,78951,179094,27661,56068,3955,74356,162040,29728,57227,3768,75964,166687,29230,61463,3668,75804,170165,8603,1653,10256,14092,1700,15792,9708,1749,11457
VENETO,81744,277887,27442,67428,454501,146600,293065,23749,70995,534409,92354,330570,29707,67929,520560,141437,240089,17119,65939,464584,148124,257504,16133,70540,492301,137528,264183,15564,66780,484055,35421,9469,44890,62571,12161,74732,43189,10746,53935
FRIULI-VENEZIA-GIULIA,13603,67456,4657,8915,94631,30765,69744,3472,9845,113826,18027,77019,4546,9600,109192,28663,59565,2960,8930,100118,29796,62386,2704,9739,104625,28556,62779,2505,9463,103303,8306,1395,9701,13787,1591,15378,9888,1741,11629
EMILIA-ROMAGNA,74776,292263,24595,81571,473205,135727,291897,20246,80608,528478,85912,337770,24668,72553,520903,122453,259478,16395,80825,479151,129887,259484,14970,79884,484225,122540,274620,13382,71876,482418,32282,6887,39169,59798,9002,68800,37875,8869,46744
TOSCANA,84066,225126,20360,41476,371028,131178,220934,16385,42728,411225,84283,240502,20299,38782,383866,108659,202027,13830,41316,365832,115300,200152,12708,42457,370617,104864,200618,11460,38013,354955,23092,6142,29234,40956,6829,47785,27353,6516,33869
UMBRIA,11923,40945,4680,2974,60522,23903,40205,3766,3526,71400,12875,44885,4734,2868,65362,21603,36994,3227,3251,65075,20735,36258,2852,3654,63499,18627,37563,2463,2557,61210,4636,1668,6304,8144,1987,10131,4830,1768,6598
MARCHE,22742,99176,8864,15152,145934,43042,95948,7211,15629,161830,24201,105274,8527,15151,153153,42479,90675,6162,15361,154677,41502,87627,5548,15518,150195,36416,87505,4708,14910,143539,9473,2966,12439,17293,3258,20551,10793,3024,13817
LAZIO,134541,410914,25394,36619,607468,248246,439919,17867,47138,753170,141511,453416,23767,30631,649325,172435,377120,17014,35687,602256,180427,411990,16045,47662,656124,173950,395850,13358,29675,612833,34159,6671,40830,62286,8898,71184,36525,8745,45270
ABRUZZO,35237,92354,3743,12284,143618,50808,92572,2548,12522,158450,28961,101360,3566,10711,144598,46377,85238,2732,12301,146648,42454,86475,2480,12209,143618,37441,88085,1955,10669,138150,6491,1059,7550,11608,1298,12906,7463,1103,8566
MOLISE,7331,12179,400,694,20604,10096,11214,264,836,22410,5711,12498,420,851,19480,9162,10857,333,709,21061,8533,10413,237,793,19976,7125,10343,223,843,18534,1119,122,1241,1693,131,1824,1192,110,1302
CAMPANIA,165773,218090,10248,48524,442635,232506,223724,7490,51314,515034,143672,244831,12435,50019,450957,171559,206030,7649,49703,434941,179538,204268,6780,51393,441979,166084,212524,6168,49815,434591,19081,2155,21236,32395,2807,35202,20953,2785,23738
PUGLIA,96953,198871,8805,29124,333753,129219,191232,6316,30932,357699,79302,208441,10310,29669,327722,110639,185351,6546,29870,332406,109576,176905,5837,29833,322151,99104,181785,5336,29413,315638,15728,2739,18467,25119,3018,28137,16740,2832,19572
BASILICATA,13216,28509,1075,3413,46213,19554,34984,776,4110,59424,11809,35670,1361,3455,52295,14902,26525,811,3333,45571,14680,32829,743,3955,52207,14249,31962,647,3454,50312,2318,289,2607,3560,341,3901,2301,341,2642
CALABRIA,37832,51553,3444,12353,105182,51616,50491,2442,12849,117398,32533,56992,3772,12783,106080,42749,48538,2991,12368,106646,42588,46742,2573,12751,104654,40666,50273,2167,12674,105780,3954,827,4781,6769,1046,7815,4221,911,5132
SICILIA,122317,174760,9155,22911,329143,148702,174563,6962,23298,353525,98320,190162,12760,23535,324777,131585,166236,7723,22905,328449,128665,161647,6486,23255,320053,120470,168537,6380,22897,318284,11895,2639,14534,17717,2817,20534,13062,2532,15594
SARDEGNA,27720,76028,1917,31040,136705,43150,74608,1343,33071,152172,24534,84729,1750,34686,145699,37827,70333,1411,30367,139938,36978,68406,1099,32413,138896,34389,73847,924,33957,143117,6065,777,6842,9972,865,10837,7040,662,7702
