anno,trimestre,ass_TI,ass_TD,apprendistato,con_col,altro,lav_att,avv_per_lav,lav_ces,ces_per_lav
2013,I° 2013,465878,1543154,60742,201698,136999,2408471,1.367889841,1880351,1.436773151
2013,II° 2013,402990,1780855,71242,153702,170086,2578875,1.399451914,2424742,1.440702971
2013,III° 2013,380098,1699340,58770,153770,130308,2422286,1.283481289,2394050,1.249958884
2013,IV° 2013,377351,1553780,55080,169579,141187,2296977,1.435590886,3117677,1.330368923
2014,I° 2014,450055,1656784,59800,199119,127340,2493098,1.394608286,1904063,1.471348295
2014,II° 2014,412584,1865432,83164,154758,166040,2681978,1.394337032,2439314,1.45345116
2014,III° 2014,410665,1748862,61230,157122,129672,2507551,1.294787238,2428999,1.267010761
2014,IV° 2014,370703,1601550,53362,175860,140291,2341766,1.469309262,3219468,1.34148245
2015,I° 2015,561155,1688679,50901,170404,131039,2602178,1.397960686,1973168,1.496766637
2015,II° 2015,556809,1895754,64990,117250,160161,2794964,1.377514921,2510194,1.455573924
2015,III° 2015,500963,1763883,46066,86305,125368,2522585,1.284402759,2399960,1.264855048
2015,IV° 2015,757244,1489224,43995,105960,142804,2539227,1.339265342,3108521,1.299114427
2016,I° 2016,413440,1488443,52382,132417,133713,2220395,1.304643528,1608710,1.369354968
2016,II° 2016,394249,1735872,82098,87789,163165,2463173,1.329727719,2199237,1.396886403
2016,III° 2016,408682,1706510,61725,87918,129955,2394790,1.28021054,2324155,1.258435259
2016,IV° 2016,407852,1604420,71235,103869,169009,2356385,1.365039835,2973547,1.306359964
